#node;bacteria;kingdom;phylum;class;genus;species;bacgroup;sequencing_status;taxid;habitat
1895;Acidianus_hospitalis_W1_uid66875;Archaea;Crenarchaeota;Thermoprotei;Acidianus;Acidianus_hospitalis;Crenarchaeota;1;933801;Not Annotated
1896;Acidilobus_saccharovorans_345_15_uid51395;Archaea;Crenarchaeota;Thermoprotei;Acidilobus;Acidilobus_saccharovorans;Crenarchaeota;1;666510;Not Annotated
1940;Aeropyrum_pernix_K1_uid57757;Archaea;Crenarchaeota;Thermoprotei;Aeropyrum;Aeropyrum_pernix;Crenarchaeota;1;272557;Not Annotated
2229;Caldivirga_maquilingensis_IC_167_uid58711;Archaea;Crenarchaeota;Thermoprotei;Caldivirga;Caldivirga_maquilingensis;Crenarchaeota;1;397948;Not Annotated
2542;Desulfurococcus_fermentans_DSM_16532_uid75119;Archaea;Crenarchaeota;Thermoprotei;Desulfurococcus;Desulfurococcus_fermentans;Crenarchaeota;1;768672;Not Annotated
2543;Desulfurococcus_kamchatkensis_1221n_uid59133;Archaea;Crenarchaeota;Thermoprotei;Desulfurococcus;Desulfurococcus_kamchatkensis;Crenarchaeota;1;490899;Not Annotated
2544;Desulfurococcus_mucosus_DSM_2162_uid62227;Archaea;Crenarchaeota;Thermoprotei;Desulfurococcus;Desulfurococcus_mucosus;Crenarchaeota;1;765177;Not Annotated
2656;Fervidicoccus_fontis_Kam940_uid162201;Archaea;Crenarchaeota;Thermoprotei;Fervidicoccus;Fervidicoccus_fontis;Crenarchaeota;1;1163730;Not Annotated
2830;Hyperthermus_butylicus_DSM_5456_uid57755;Archaea;Crenarchaeota;Thermoprotei;Hyperthermus;Hyperthermus_butylicus;Crenarchaeota;1;415426;Not Annotated
2836;Ignicoccus_hospitalis_KIN4_I_uid58365;Archaea;Crenarchaeota;Thermoprotei;Ignicoccus;Ignicoccus_hospitalis;Crenarchaeota;1;453591;Not Annotated
