kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Bacteria,Cyanobacteria,-,Acaryochloris,Acaryochloris_marina,Acaryochloris_marina_MBIC11017_uid58167,494,Cyanobacteria,Chroococcales
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacter,Acetobacter_pasteurianus,Acetobacter_pasteurianus_IFO_3283_01_uid59279,2402,Alphaproteobacteria,Rhodospirillales
Bacteria,Firmicutes,Clostridia,Acetohalobium,Acetohalobium_arabaticum,Acetohalobium_arabaticum_DSM_5501_uid51423,501,Clostridia,Halanaerobiales
Bacteria,Tenericutes,Mollicutes,Acholeplasma,Acholeplasma_laidlawii,Acholeplasma_laidlawii_PG_8A_uid58901,502,Tenericutes,Acholeplasmatales
Bacteria,Proteobacteria,Betaproteobacteria,Achromobacter,Achromobacter_xylosoxidans,Achromobacter_xylosoxidans_A8_uid59899,503,Betaproteobacteria,Burkholderiales
Bacteria,Firmicutes,Negativicutes,Acidaminococcus,Acidaminococcus_fermentans,Acidaminococcus_fermentans_DSM_20731_uid43471,504,Negativicutes,Selenomonadales
Bacteria,Firmicutes,Negativicutes,Acidaminococcus,Acidaminococcus_intestini,Acidaminococcus_intestini_RyC_MR95_uid74445,505,Negativicutes,Selenomonadales
Archaea,Crenarchaeota,Thermoprotei,Acidianus,Acidianus_hospitalis,Acidianus_hospitalis_W1_uid66875,506,Crenarchaeota,Sulfolobales
Archaea,Crenarchaeota,Thermoprotei,Acidilobus,Acidilobus_saccharovorans,Acidilobus_saccharovorans_345_15_uid51395,507,Crenarchaeota,Acidilobales
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobium,Acidimicrobium_ferrooxidans,Acidimicrobium_ferrooxidans_DSM_10331_uid59215,2406,Actinobacteria,Acidimicrobiales
Bacteria,Proteobacteria,Alphaproteobacteria,Acidiphilium,Acidiphilium_cryptum,Acidiphilium_cryptum_JF_5_uid58447,2407,Alphaproteobacteria,Rhodospirillales
Bacteria,Proteobacteria,Alphaproteobacteria,Acidiphilium,Acidiphilium_multivorum,Acidiphilium_multivorum_AIU301_uid63345,2408,Alphaproteobacteria,Rhodospirillales
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_caldus,Acidithiobacillus_caldus_SM_1_uid70791,2409,Gammaproteobacteria,Acidithiobacillales
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_ferrivorans,Acidithiobacillus_ferrivorans_SS3_uid67387,2410,Gammaproteobacteria,Acidithiobacillales
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_ferrooxidans,Acidithiobacillus_ferrooxidans_ATCC_23270_uid57649,509,Gammaproteobacteria,Acidithiobacillales
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_ferrooxidans,Acidithiobacillus_ferrooxidans_ATCC_53993_uid58613,511,Gammaproteobacteria,Acidithiobacillales
Bacteria,Acidobacteria,Acidobacteriia,Acidobacterium,Acidobacterium_capsulatum,Acidobacterium_capsulatum_ATCC_51196_uid59127,2411,Acidobacteria,Acidobacteriales
Bacteria,Acidobacteria,Acidobacteriia,Acidobacterium,Acidobacterium_MP5ACTX9,Acidobacterium_MP5ACTX9_uid50551,513,Acidobacteria,Acidobacteriales
Bacteria,Actinobacteria,Actinobacteria,Acidothermus,Acidothermus_cellulolyticus,Acidothermus_cellulolyticus_11B_uid58501,514,Actinobacteria,Actinomycetales
Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_avenae,Acidovorax_avenae_ATCC_19860_uid42497,2413,Betaproteobacteria,Burkholderiales
Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_citrulli,Acidovorax_citrulli_AAC00_1_uid58429,515,Betaproteobacteria,Burkholderiales
Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_ebreus,Acidovorax_ebreus_TPSY_uid59233,516,Betaproteobacteria,Burkholderiales
Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_JS42,Acidovorax_JS42_uid58427,2414,Betaproteobacteria,Burkholderiales
Archaea,Euryarchaeota,-,Aciduliprofundum,Aciduliprofundum_boonei,Aciduliprofundum_boonei_T469_uid43333,2415,Euryarchaeota,-
Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_ADP1,Acinetobacter_ADP1_uid61597,529,Gammaproteobacteria,Pseudomonadales
Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_baumannii,Acinetobacter_baumannii_AB0057_uid59083,2420,Gammaproteobacteria,Pseudomonadales
